# German-English dictionary created from OmegaWiki database
# Created on: 2011-03-24T07:33:00+01:00
# Licence: GNU Free Documentation Licence http://www.gnu.org/copyleft/fdl.html
# Download updated version of this file at: http://www.dicts.info/uddl.php
# Contact us at: http://www.dicts.info/contact.php
ADI-Wert	acceptable daily intake
Cer	cerium
Cetacea	cetacean
Champagner	champagne
Champignon ; Pilz ; Pilz ; Champignons	mushroom
Chanukka	Hannukah
Chaosforschung	chaos theory
Charente	Charente
Charta	chart
Chemie	chemistry
Chemieanlage	chemical installation
Chemiepolitik	chemical policy
Chemierisiko	chemical risk
Chemiewerk	chemical plant
Chemikalien ; Chemikalie	chemical
Chemikalienabfall	chemical waste
Chemikaliengesetz	chemicals act
Chemischreinigung	dry cleaning
Chemisorption	chemisorption
Chihuahua	Chihuahua ; chihuahua
Chihuahua	Chihuahua
Chile	Chile ; Republic of Chile
China	People's Republic of China ; China
Chinesisch	Chinese
Chirurg	surgeon
Chirurgie	surgery
Chlor	chlorine
Chlorid	chloride
Chlorkohlenwasserstoff	chlorinated hydrocarbon
Chlorose	chlorosis
Chlorphenol	chlorophenol
Chlorung	chlorination
Cholesterin ; Cholesterol	cholesterol
Chordatier	chordate
Chorologie	chorology
Chrom	chromium
Chromatografie	chromatography
Chromosom	chromosome
Chrysophyten	chrysophyta
Colubridae	colubrid
Computer ; Rechner	computer
Cookinseln	Cook Islands
Costa Rica	Costa Rica ; Republic of Costa Rica
Critical Level	critical level
Critical Load ; kritische Last	critical load
Curium	curium
Curriculum	curriculum
Cyanat	cyanate
Cyanid ; Zyanid	cyanide
Cäsium ; Caesium	caesium
DDR ; Deutsche Demokratische Republik	GDR ; German Democratic Republic
DDT ; Dichlordiphenyltrichlorethan	DDT ; dichloro-diphenyl-trichloroethane
DNA ; Desoxyribonukleinsäure ; DNS	DNA ; deoxyribonucleic acid
DNS-Rekombinationstechnik	recombinant DNA technology
Dach ; Dach ; Dach	roof ; roof ; roof
Dagestan	Dagestan
Dakar	Dakar
Dame ; Frau ; Frauenzimmer ; Weib ; Weibsbild ; Weibsperson	female ; woman
Damm	dam
Damm ; Perineum	perineum
Dammdrainage	dam draining
Dampfdruck	vapour pressure
Dampferzeuger	steam generator
Danksagung	thank you
Daphnien ; Wasserflöhe	water flea
Darmstadtium	darmstadtium
Datenanalyse	data analysis
Datenaustausch	data exchange
Datenbank	database
Datenerfassungsmethode	data recording technique
Datensammlung	data acquisition
Datenschutz	data protection
Datenträger	data carrier
Datenverarbeitung	data processing
Datenverarbeitungsindustrie	information technology industry
Datenverarbeitungsrecht	data processing law
Datenverarbeitungssystem	data processing system
Datenzentrum	data centre
Datierung	dating
Dauerbelastung	continuous load
Daumen	thumb
Dechlorierung	dechlorination
Definition	Definition ; definition
Deflation	deflation
Deich	dyke
Deichverstärkung	dyke reinforcement
Deinking	de-inking
Dekantierung	racking
Deklaration	declaration ; statement
Dekontamination	decontamination
Delaware	Delaware
Delphin	dolphin
Delta ; Flussdelta	delta
Demographie	demography
Demokratie	democracy
Demokratische Republik Kongo	Democratic Republic of the Congo ; Congo-Kinshasa
Demoskopie	public opinion polling
Den Haag	The Hague
Dendrochronologie ; Baumringdatierung ; Jahresringdatierung	dendrochronology ; tree-ring dating
Dendrometrie	dendrometry
Dengue-Fieber	dengue fever
Denitrifikation	denitrification
Denkmal	monument
Denkmalerhaltung	conservation of monuments
Deponie	landfill
Deponieabdeckung	landfill covering
Deponiebasisabdichtung	landfill base sealing
Deponieentgasung	landfill degasification
Deponiegas	landfill gas
Deponiesickerwasser	landfill leachate
Deregulation	deregulation
Dermatologie	dermatology
Desinfektion	disinfection
Desinfektionsmittel	disinfectant
Desorption	desorption
Destillation	distillation
Detektor	detector
Deuterium	deuterium
Deutsch (Schweiz)	German (Switzerland)
Deutsch (Österreich)	German (Austria)
Deutsch ; ألماني	German
Deutsche ; Deutscher	German
Deutschland ; BRD ; Bundesrepublik Deutschland	Germany ; Federal Republic of Germany
Devisenpolitik	exchange policy
Devolution	devolution
Dezember	December
Dezentralisierung	decentralisation
Dezibel	decibel
Dialekt	dialect
Dialyse	dialysis
Diatomeen	diatom
Dichte	density
Dichtungsbahn	liner material
Didaktik	didactics
Dienstag	Tuesday
Dienstleistungen ; tertiärer Sektor ; Dienstleistungssektor	tertiary sector
Dieselkraftstoff ; Diesel	diesel fuel ; diesel
Dieselmotor	diesel engine
Differenzierung	differentiation
Diffusion	diffusion
Digitalisierung	digitising
Dioxin	dioxin
Diplomat	diplomat
Direkteinleiter	direct discharger
Diskriminierung	discrimination
Dispersion	dispersion
Dissertation	thesis
Division	division
Diözese	diocese ; diocese
Doktrin ; Lehrmeinung	doctrine
Dokument	document
Dokumentarfilm	documentary film
Dokumentation	documentation
Dokumentationssystem	documentary system
Dokumentationszentrum	documentation centre
Dokumentenausleihe	document lending
Dokumentenindexierung	indexing of documentation
Dokumenttyp	document type
Dominica	Dominica ; Commonwealth of Dominica
Dominikanische Republik	Dominican Republic
Donner ; Donnerschlag	thunder
Donnerstag	Thursday
Doppelstern	binary star
Dorf	village
Dosierung	dosage
Dosis	dose
Dosis-Wirkung-Beziehung	dose-effect relationship
Down-Syndrom ; Trisomie 21	Down syndrome ; Down’s syndrome
Drehofen	rotary furnace
Dreieck	triangle
Dromedar	dromedary
Druck	pressure
Druckerei	printing work
Druckfarbe ; Tinte	ink
Dränwasser	drainage water
Drüse	gland
Dschibuti	Djibouti ; Republic of Djibouti
Duale Abfallwirtschaft	dual waste management
Dualwirtschaft	dual economy
Dublin	Dublin
Dubnium	dubnium
Dudelsack ; Sackpfeife	bagpipes
Dunst	haze
Durchfall ; Diarrhoe ; Diarrhö	diarrhea
Durchführungsverordnung	executive order
Durchnässung	soaking
Durst	thirst
Dyprosium ; Dysprosium	dysprosium
Dänemark	Denmark ; Kingdom of Denmark
Dänisch	Danish
Düne	dune
Düngemittel	fertiliser
Düngemittelgesetz	fertiliser law
Dünger	manure
Dünger ; Tiermist ; Stallmist	animal manure
Düngererzeugung	manure production
Düngung	soil fertilisation
Dünnsäure	diluted acid
Dürre	drought
Dürreschutz	drought control
EG ; Europäische Gemeinschaften	European Communities
EG-Ministerrat	EC Council of Ministers
EG-Vertrag	EC Treaty
EU ; Europäische Union	EU ; European Union
EU-Altstoffverordnung	EC regulation on existing chemicals
EU-Biozidrichtlinie	EC directive on biocides
EU-Deponierichtlinie	EC directive on waste disposal
EU-Politik	EC policy
EU-Richtlinie	EC directive
EU-Umweltaudit-Verordnung	EC regulation on eco-management and audit
EU-Umweltzeichen	EC ecolabel
EU-Verordnung	EC regulation
EU-Wasserschutzrichtlinie	EC directive on water protection
Ebene	plain
Ebene ; επίπεδο	plane
Ecuador	Ecuador ; Republic of Ecuador
Edaphologie	edaphology
Edelgas ; Elemente der Gruppe 0 ; Nullgruppe ; Element der Gruppe 0	element of group 0 ; noble gas
Effizienzkriterium	efficiency criterion
Ehefrau ; Ehegattin ; Ehegespons ; Ehegespons ; Ehegespons ; Eheweib ; Frau ; Gattin ; Gemahlin ; Weib ; Ehegesponst ; Ehegesponst ; Ehegesponst ; Ehepartnerin	wife ; spouse
Ehegatte ; Ehegemahl ; Ehegespons ; Ehegespons ; Ehegespons ; Ehemann ; Gatte ; Gemahl ; Mann ; Ehegesponst ; Ehegesponst ; Ehepartner	husband ; spouse
Ehrfurcht	awe
Ei	egg
Eiche	oak
Eichel	acorn
Eidechse	lizard
Eierstock ; Ovar ; Oophoron	ovary
Eiffelturm	Eiffel Tower
Eigenkompostierung	composting by producer
Eigenschaft	attribute
Eigentum	property ; asset
Eigentumsrecht	ownership
Eigentumsschutz	property protection
Eigenverantwortung	personal responsibility
Eigenwert der Natur	natural value
Eiland ; Insel	island ; isle
Einbuchtung	cove
Einfuhr	import
Einfuhrlizenz	import licence
Einführung von Pflanzenarten	introduction of plant species
Einführung von Tierarten	introduction of animal species
Eingriff in Natur und Landschaft	intervention in nature and landscape
Eingriff in die Raumordnung	land-management intervention area
Einkaufszentrum	shopping centre
Einkommen	income
Einkommenssteuer ; Einkommensteuer	income tax
Einleitung ins Wasser ; Verklappung	emission to water
Eins	one
Einsteinium	einsteinium
Einwegverpackung	non-returnable container
Einwendung ; Protest	objection
Einzelabwasserbehandlung	individual wastewater treatment
Einzelhandelsgeschäft	shop
Eis	ice
Eis ; Eiscreme ; Speiseeis ; Eiskrem ; Wassereis ; Milchspeiseeis ; Fruchtspeiseeis ; Softeis	ice cream
Eisberg	iceberg
Eisbär ; Polarbär	polar bear
Eisen	iron
Eisen- und Stahlindustrie	iron and steel industry
Eisenbahn	railway
Eisenbahnnetz ; Schienennetz	railway network
Eisenbahntransport	rail transport
Eisenhüttenindustrie	ironwork industry
Eisenindustrie	iron industry
Eisenschrott	iron scrap
Eishockey	ice hockey
Eiweißerzeugnis	protein product
Ejakulation ; Samenerguss	ejaculation
El Salvador	El Salvador ; Republic of El Salvador
Elastizität	elasticity
Elefant	elephant
Elektrizität	electricity
Elektrizität ; elektrische Leistung	electric power
Elektrizitätserzeugung	electricity generation
Elektrizitätserzeugungskosten	electricity generation cost
Elektrizitätsgesellschaft	electricity company
Elektrizitätsverbrauch	electricity consumption
Elektrizitätsversorgung	electric power supply
Elektrizitätswerk	electric power plant
Elektrizitätswirtschaft ; Stromwirtschaft	electricity supply industry
Elektrofahrzeug	electric vehicle
Elektroindustrie	electrical industry
Elektrokinetik	electrokinetics
Elektrolyse	electrolysis
Elektromagnetismus	electromagnetism
Elektron	electron
Elektronik	electronics
Elektronikschrott	electronic scrap
Elektronikschrottverordnung	electronic scrap regulation
Elektrosmog	electrosmog
Elektrotechnik	electrical engineering
Elektrowarenindustrie	electrical goods industry
Elemente der Gruppe II (Erdalkalimetalle) ; Erdalkalimetalle ; Elemente der Gruppe II ; Erdalkalimetall ; Element der Gruppe II	element of group II (alkaline earth metals) ; alkaline earth metal ; element of group II
Elemente der Gruppe III ; Element der Gruppe III	element of group III
Elemente der Gruppe IV ; Element der Gruppe IV	element of group IV
Elemente der Gruppe V ; Element der Gruppe V	element of group V
Elemente der Gruppe VI ; Element der Gruppe VI ; Chalkogen	element of group VI
Elemente der Gruppe VII ; Halogen ; Element der Gruppe VII	element of group VII ; halogen
Elfenbein	ivory
Elfenbeinküste	Ivory Coast ; Cote d'Ivoire ; Republic of Cote d'Ivoire
Ellenbogen ; Ellbogen	elbow
Emanzipation	emancipation
Embryo	embryo
Embryonalentwicklung	embryogenesis
Emission	emission
Emission Reduction Banking ; Emissionshandel	emission reduction banking
Emission in die Atmosphäre	atmospheric emission
Emissionsdaten	emission data
Emissionsfaktor	emission factor
Emissionskataster	emission register
Emissionsminderung	emission reduction
Emissionsminderung	pollution control
Emissionsnorm	emission standard
Emissionsprognose	emission forecast
Emissionssituation	emission situation
Emissionsüberwachung	emission control
Emittent	emission source
Empfehlung	recommendation
Emulgierung	emulsification
Emulsion	emulsion
End-of-Pipe Technik ; End-of-Pipe-Technik	end-of-pipe technology
Endlagerung	final storage
Endlagerung im Boden	land disposal
Endokrinologie	endocrinology
Energie	energy
Energie auf Kohlebasis	coal-based energy
Energie auf Ölbasis	oil-based energy
Energie aus Biomasse	biomass energy
Energieart	energy type
Energieausnutzung	energy efficiency
Energiebedarf	energy demand
Energiebilanz	energy balance
Energieeinsparung	energy saving
Energiegewinnung	energy production
Energiemarkt	energy market
Energienutzung	energy utilisation ; energy use
Energiepolitik	energy policy
Energiequelle	energy source
Energierecht	energy legislation
Energieressourcen	energy resource
Energiespeicherung	energy storage
Energietechnik	energy technology
Energieträger	energy source material
Energieumwandlung	energy conversion
Energieverbrauch	energy consumption
Energieverfahren	energy process
Energievernichtung	energy dissipation
Energieversorgung	energy supply
Energieversorgungsunternehmen	power company
Energieverteilungssystem	energy distribution system
Energiewirtschaft	energy economics
Energiewirtschaft	energy industry
Energiewirtschaft	energy management
Engel	angel
England	England
Englisch	English
Englischer Garten	English garden
Enkel ; Enkelkind ; Kindeskind	grandchild
Enkel ; Enkelsohn	grandson
Entbindung ; Geburt ; Kindsgeburt ; Niederkunft	birth ; birth ; birth ; childbirth ; childbirth ; childbirth ; parturition
Ente	duck
Enteignung	expropriation
Entenvögel	swans, geese and ducks
Enterovirus	enterovirus
Entfernung	removal
Entfettung	degreasing
Entgiftung	detoxification
Entlaubung	defoliation
Entsalzung	desalination
Entsalzungsanlage	desalination plant
Entscheidung	decision
Entscheidungshilfe	decision making support
Entscheidungshilfesystem	decision-support system
Entscheidungsprozeß ; Entscheidungsprozess	decision process
Entschwefelung	desulphurisation
Entschädigung	compensation
Entstaubung	dust removal
Entwaldung ; Abholzung	deforestation
Entwicklungsgebiet	development area
Entwicklungshilfe	development aid
Entwicklungsland	developing country
Entwicklungsländer	less developed country
Entwicklungsmodell	development model
Entwicklungsmuster	development pattern
Entwicklungsplan	development plan
Entwicklungszusammenarbeit	development co-operation
Entwässern	draining
Entwässerung	drainage
Entwässerungsanlage	drainage system
Environmentalismus	environmentalism
Enzephalitis ; Gehirnentzündung	encephalitis
Enzyklopädie ; Lexikon	encyclopaedia
Enzym	enzyme
Epidemie	epidemic
Epidemiologie	epidemiology
Epigramm	epigram
Epilepsie	epilepsy
Epiphanias ; Epiphanie ; Erscheinung des Herrn ; Dreikönigsfest ; Theophanie	Epiphany
Epizentrum	epicentre
Equinae ; Pferde ; Einhufer	equine
Erbherrliches Management	patrimonial management
Erbium	erbium
Erdbeben	earthquake
Erdbebenwelle ; seismische Welle ; Tsunami	seismic sea wave ; tsunami
Erdbeere	strawberry
Erde ; der blaue Planet ; die Welt ; Blauer Planet	earth ; Earth ; the world ; Blue Planet
Erde-Sonne-Beziehung	Earth-Sun relationship
Erdgas	natural gas
Erdgasexploration	natural gas exploration
Erdgasförderung	natural gas extraction
Erdkruste	earth's crust ; crust ; Earth's crust
Erdkunde ; Geografie ; Geographie	geography
Erdrutsch	landslide
Erdtrabant ; Mond ; Trabant	moon ; Luna ; Moon
Erdwärme	geothermal energy
Erdöl ; schwarzes Gold	petroleum
Erdölförderung	oil extraction
Erdölindustrie	petroleum industry
Erdölverbrauch	petroleum consumption
Ergonomie	ergonomics
Erhaltung des Friedens	peacekeeping
Erholung	recreation
Erholungsanlage	leisure centre
Erholungsgebiet	recreational area
Eritrea	Eritrea
Eriwan ; Jerewan	Erevan ; Yerevan
Erlaubnis	permission
Erleichterung	easement
Ermächtigung ; Authorisierung ; Autorisierung	authorisation
Erniedrigung	abasement
Ernte	harvest
Ernährung	nutrition
Ernährungssicherung	adequate food supply
Erosion	erosion
Erosionsschutz	erosion control
Ersatz	replacement
Ersatzkosten	replacement cost
Ersatzstoff	alternative material
Erstattungsanspruch	claim for restitution
Erstaunen	astonishment
Erstausbildung	initial training
Ertrag	yield
Ertrag ; Rendite	yield
Erwachsene ; Erwachsener	adult
Erwachsenenbildung	adult education
Erwerb	acquisition
Erz	ore
Erzbischof	archbishop
Erzherzog	archduke
Esel	donkey ; ass
Esperanto	Esperanto ; Esperanto
Essen ; Nahrung	food
Essig	vinegar
Estland	Estonia ; Republic of Estonia
Estnisch	Estonian
Ethanol ; Äthanol	ethanol
Ethanol-Kraftstoff	fuel alcohol
Ether	ether
Ethik	ethics
Ethnografie	ethnography
Ethnologie	ethnology
Ethologie	ethology
Europa	Europe
Europareservat	European nature reserve
Europium	europium
Europäische Atomgemeinschaft	Euratom
Europäische Kommission	European Commission
Europäische Norm	European standard
Europäische Umweltagentur	European Environment Agency
Europäischer Binnenmarkt	internal European market
Europäischer Gerichtshof	European Court of Justice
Europäischer Umweltrat	European Environmental Council
Europäischer Währungsfond	European Monetary Fund
Europäisches Parlament	European Parliament
Europäisches Währungssystem ; EWS	European Monetary System ; EMS
Eutrophierung	eutrophication
Evaporation	evaporation
Evapotranspiration	evapotranspiration
Evolution	evolution
Exot	exotic species
Experiment	experiment
Experimentalstudie	experimental study
Expertensystem	expert system
Exploration	exploration
Explosion ; Zerknall	explosion
Explosivstoff	explosive
Exposition	exposure
Extensivierungspolitik	enlargement policy
Extensivierungsprogramm	enlargement programme
Externalität	externality
Extraktion	extraction
Extraktivindustrie	extractive industry
FCKW-Halon-Verbot	CFC and halons prohibition
Fagott	bassoon
Fahren außerhalb der Stoßzeiten	off-peak travelling
Fahrweg (Streckenführung) ; Fahrweg	route
Fahrzeug	vehicle
Faktormarkt	factor market
Falklandinseln	Falkland Islands
Fallout	fallout
Fallout (Chemikalien) ; chemischer Fallout	chemical fallout
Fallout ; Fallout (Radioaktivität) ; radioaktiver Niederschlag	radioactive fallout
Fallschirm	parachute
Familie	family
Familienplanung	family planning
Familienrecht	family law
Familienstand	marital status
Fangertrag	catch yield
Fanggrund ; Fischgründe	fishing ground
Farbe ; Farbe ; Farbe	colour ; colour ; colo(u)r
Farbstoff ; Färben	dye
Farbzusammensetzung	colour composition
Farnpflanze ; Farn	fern
Fasan	pheasant
Faschismus	fascism
Faser	fibre
Faulbehälter	digester
Faulschlamm	digested sludge
Faulung	digestion
Fauna	fauna
Faunenverfälschung	bastardisation of fauna
Februar	February
Feder	feather
Feind ; Feind ; Feind	enemy
Feinmechanik	precision engineering
Feinstaub	fine dust
Feldstudie	field study
Fels ; Fels ; Gestein	rock
Fenster	window
Ferien ; Urlaub	holiday ; opor-garai
Ferienlager	holiday camp
Fermentation	fermentation
Fermium	fermium
Fernerkundung	remote sensing
Fernerkundungszentrum	remote sensing centre
Fernleihe	inter-library loan
Fernsehen	television
Fernseher ; Fernsehgerät ; TV-Gerät ; Fernsehapparat ; Fernsehempfänger	television
Fernsehsendung	television programme
Fernsprecher ; Telefon	phone ; telephone
Fernstraße ; Landstraße ; öffentliche Straße	highway
Fernverkehr	long-distance traffic
Fernwärme	district heating
Fertigbau	prefabricated building
Festlandsockel ; Kontinentalschelf ; Kontinentalsockel ; Schelf	continental shelf
Festplatte	hard disk drive ; hard disk ; HD
Feuchtigkeit	moisture
Feuerstein	flint ; flintstone
Feuerung	firing
Feuerwehr	fire service
Feuerwerk	firework
