# French-English dictionary created from OmegaWiki database
# Created on: 2011-03-22T11:10:01+01:00
# Licence: GNU Free Documentation Licence http://www.gnu.org/copyleft/fdl.html
# Download updated version of this file at: http://www.dicts.info/uddl.php
# Contact us at: http://www.dicts.info/contact.php
ADN ; acide désoxyribonucléique	DNA ; deoxyribonucleic acid
avide	avid
avifaune	avifauna
avifaune aquatique	waterfowl
avis	notice
avocat	lawyer
avril	April
axiome	axiom
azote	nitrogen
azote organique	organic nitrogen
azéri	Azerbaijani ; Azeri ; Azerbaijani Cluster
aération	aeration
aération de l'eau	water aeration
aérobiologie	aerobiology
aéroplane ; avion	aeroplane ; bird ; plane
aéroport	airport
aérosol	aerosol
aérosol atmosphérique	atmospheric aerosol
babouin	baboon
bacon	bacon
bactéricide	bactericide
bactérie	bacterium
bactérie fécale	faecal bacterium
bactériologie	bacteriology
badminton	badminton
baie	bay
bail	lease
bains publics	public bath
baleine	whale
ballade	ballad
balle	bullet
banane	banana
bande magnétique	magnetic tape
banlieue	suburb
banque d'échantillons de l'environnement	environmental specimen bank
banque de données bibliographiques	literature data bank
banqueroute	bankruptcy
banquise	ice pack
baromètre	barometer
baron	baron
barrage	dam
barrière ; digue	dyke
barrière de confinement	oil boom
baryum	barium
base	base
base de données	database
base de données relationnelle	relational database
base de loisirs	leisure centre
base légale	legal basis
baseball	baseball ; baseball game
basicité	basicity
basidiomycète	basidiomycete
basket ; basketball	basketball ; basketball game
basque	Basque ; Basque
bassin de retenue	reservoir
bassin hydrographique	hydrographic basin
bassin lacustre	lake basin
bassin versant	catchment area
basson	bassoon
bateau	boat
bateau	ship
bateau de pêche	fishing vessel
batracien	amphibian
batterie	battery
belle-mère	mother-in-law ; mother in law
bengalî	Bengali ; Bengali
benthos	benthos
benzopyrène	benzopyrene
benzène	benzene
berge	bank
berger ; pasteur	shepherd
berkélium	berkelium
besoin	need
besoin en énergie	energy demand
besoins alimentaires	food requirement
besoins alimentaires de base	basic food requirement
beurre	butter
bibliographie	bibliography
bibliothèque	library
bibliothécaire	librarian
bicyclette ; vélo ; petite reine	bicycle ; bike ; cycle
bien de consommation	consumer goods
bien non durable	non-durable goods
bien-être social	social welfare
biens	goods
biens durables	durable goods
biens et services	goods and services
bilan	balance
bilan hydrologique	biological water balance
bilan hydrologique	hydrologic balance
bilan matière	balance of matter
bilan nutritif	nutrient balance
bilan énergetique	energy balance
bilatéral	bilateral
bioaccumulation	bioaccumulation
biocarburant	biofuel
biochimie	biochemistry
biocide	biocide
bioclimatologie	bioclimatology
biocénose	biocoenosis
biodisponibilité	bio-availability
biodégradabilité	biodegradability
biodégradation	biodegradation
biofiltration	biofiltration
biogaz	biogas
biogéographie	biogeography
biologie	biology ; biological science
biologie animale	animal biology
biologie estuarienne	estuarine biology
biologie marine	marine biology
biologie moléculaire	molecular biology
biologie végétale	plant biology
bioluminescence	bioluminescence
biomarqueur	biomarker
biomasse	biomass
biome	biome
biophysique	biophysics
biorythme	biorhythm
bioréacteur	bioreactor
biosphère	biosphere
biosynthèse	biosynthesis
biosécurité	biosafety
biotechnologie	biotechnology
biotechnologie agro-alimentaire	agricultural biotechnology
biotechnologie à but médical	health-related biotechnology
biotope	biotope
bioéthique	bioethics
biphényles halogénés	halogenated biphenyl
birman	Burmese
bismuth	bismuth
bitume	bitumen
bière	beer
biélorusse ; biélorussien	Belarusan ; Belarusan ; Belarusian ; Belorussian ; Byelorussian
blanc	white
blanchissage	laundering
blennorragie ; gonorrhée	gonorrhea
blessure	injury
blessure ; plaie	wound
bleu	blue
blog	blog ; weblog ; web log
blé	wheat
bocage	bocage
bohrium	bohrium
boire	drink ; gulp ; quaff ; sip
bois	wood
bois méditerranéen	Mediterranean wood
bois à usage de combustible	fuel wood
boisement	afforestation ; tree planting ; afforestment
boisson	beverage ; drink
boisson ; consommation	beverage ; drink
bokmål	Bokmål
bon appétit	enjoy your meal ; have a nice meal
bon de livraison	advice
bonhomme ; gars ; homme ; mec ; type	male ; man
bonjour ; salut ; allô ; allo	hello ; hey ; hi ; howdy
bonne année	Happy New Year
bonne femme ; femme ; gonzesse ; meuf ; nana	female ; woman
bonne gestion	good management
bonsaï	bonsai
bonsoir	good evening
bordure ; bordure ; frontière	border
bore	boron
bosnien ; bosniaque	Bosnian ; Bosnian
botanique	botany ; phytology
botanique	botany
bouche	beak ; mouth
boucher	butcher
bouchon	bottle cap
boue	sludge
boue activée	activated sludge
boue de curage	clearing sludge
boue deshydratée	dehydrated sludge
boue digérée	digested sludge
boue industrielle	industrial sludge
boue résiduaire	residual waste sludge
bougie ; chandelle	candle
bouilloire ; bouilloire ; marmite ; bouillotte	kettle
boulanger	baker
boulangerie	baker ; bakery
bourdon	bumblebee
bourreau ; exécuteur des hautes-œuvres	executioner
bourse d'informations	information clearing-house
bourse des valeurs environnementales	environmental stock exchange
boutique ; commerce ; magasin	shop
bouture	cutting ; cutting (vegetative propagation)
branche	branch
branches du droit	law branch
bras	arm
brassage convectif	overturn (limnology)
breton	Breton ; Breton
brevet d'invention	patent
brique	brick
brocoli	broccoli
brome	bromine
brouillard	fog
broussaille	brushwood
broyage	grinding
bruit	noise
bruit ; bruit, vibrations	noise ; noise, vibrations ; racket
bruit ambiant	environmental noise
bruit aérien	airborne noise
bruit aérodynamique	aerodynamic noise
bruit d'aéronefs	aircraft noise
bruit de construction	construction noise
bruit de fond	background noise
bruit de roulement	rolling noise
bruit de voisinage	neighbourhood noise
bruit des activités commerciales	commercial noise
bruit domestique	domestic noise
bruit dû aux animaux	animal noise
bruit et santé	health effect of noise
bruit impulsif	impulsive noise
bruit industriel	industrial noise
bruit intermittent	intermittent noise
bruit routier	traffic noise
brumasse ; brume	mist
brume	haze
bryophites	bryophyte
brûlage contrôlé	controlled burning
brûlage à la torche	flaring
budget	budget
budget communautaire	Community budget
budget d'encouragement	incentive fund
bulgare	Bulgarian ; Bulgarian
bulletin d'expédition	dispatch note
bureau	office
bureaucratie	bureaucracy
bureaucratisation	bureaucratisation
bâtiment	building
bâtiment agricole	agricultural building
bâtiment d'habitation	residential building
bâtiment industriel	industrial building
bâtiment non résidentiel	non-residential building
bâtiment préfabriqué	prefabricated building
bâtiment public	public building
béatification	beatification
bénéfice	profit
béryllium	beryllium ; glucinium
bétail	cattle
bétail de boucherie	beef cattle
béton	concrete
bête de trait	draught animal
bûcheron	lumberjack
cactus	cactus
cadastre	land register
cadmium	cadmium
cadre de vie	living environment
cafards ; cafard	cockroach
café	coffee
caféine ; théine	caffeine
cahier de documentation	information kit
calamité agricole	agricultural disaster
calanque	cove
calcaire	limestone
calcium	calcium
calcul	calculation
calcul de dispersion	dispersion calculation
calendrier	calendar
calendrier grégorien	Gregorian calendar
calibre	caliber
californium	californium
calligraphie	calligraphy
camion	lorry
camion citerne	tanker
camouflage	camouflage
camp de vacances	holiday camp
campement ; camp	camp ; military camp ; army camp ; campsite
camping	camping site
camping	camping ; camping ground
canal	canal
canalisation	channelling
canard	duck
cancer	Cancer
cancer	cancer
cancérigène	carcinogen
cancérigènicité	carcinogenicity
canidé	canid
caoutchouc	rubber
cap	headland
capacité de charge écologique	ecological carrying capacity
capitale	capital
captage	catchment
capteur solaire	solar collector
capture accessoire	by-catch
caractère ; lettre	letter
caractéristiques des matériaux	properties of materials
carbonate	carbonate
carbone	carbon
carbone organique	organic carbon
carbone organique dissous	dissolved organic carbon
carburant	motor fuel
carburant non polluant	non-polluting fuel
cardinal	cardinal
cardiologie	cardiology
carnivores ; carnivore	carnivore
carrière	career
carrière	quarry
carré	square
carte	map
cartogramme	map chart
cartographie	cartography
cartographie	mapping
cartographie de lichens	mapping of lichens
carélien	Karelian
cascade	waterfall
casse-noix	nutcracker
castor	beaver
catalan	Catalan ; Catalan
catalyse	catalysis
catalyseur	catalyst
catapulte	catapult
catastrophe	catastrophe
catastrophe anthropogénique	human-made disaster
catastrophe hydrologique	hydrologic disaster
catastrophe météorologique	meteorological disaster
catastrophe naturelle	natural disaster
catastrophe écologique	ecocatastrophe
catastrophe écologique	disaster
cation	cation
catégorie	category
catégorie d'espèce menacée d'extinction	category of endangered species
cavalier	knight ; knight
caviar	caviar
cavité creusée	excavated hole
cellule	cell ; electrochemical cell ; energy cell ; Galvanic cell ; στοιχείο
cellule ; cellule	cell ; cell
cellule solaire	solar cell
cellulose	cellulose
cendre	ash
cendre volante	fly ash
cendrier	ashtray
cent	hundred
centrale de chauffage	heating plant
centrale de chauffage à distance	district heating plant
centrale hydroélectrique	hydroelectric power plant
centrale marémotrice	tidal power station
centrale mixte	combined cycle-power station
centrale nucléaire	nuclear power plant
centrale solaire	solar power station
centrale thermique	thermal power plant
centrale à charbon	coal-fired power plant
centrale à co-génération	heat and power station
centrale à gaz	gas powered plant
centrale électrique	electric power plant
centrale électrique	power station
centralisation	centralisation
centre commercial	shopping centre
centre d'information	information centre
centre de documentation	documentation centre
centre de données	data centre
centre de formation	training centre
centre de recherche	research centre
centre de recherche nucléaire	nuclear research centre
centre de télédétection	remote sensing centre
centre historique	historic centre
centre ville	city centre
centrifugation	centrifugation
cerf	deer
cerise	cherry
certification	certification
certification qualité	quality certification
chacal	jackal
chaise	chair
chaleur	heat
chameau	camel
champ	field ; land ; land ; acre ; patch
champ d'un écoulement	flow field
champ d'épandage	sewage farm
champagne	champagne
champignon	mushroom
champignon	fungus
changement climatique	climatic change ; climate change
changement climatique induit  par l'action humaine	man-made climate change
changement de valeur	change in value
changement écologique	environmental change
chantier	building site
chapitre	chapter
charbon	coal
charbon actif	activated carbon
charbon de bois	charcoal
charge continue	continuous load
charge critique	critical load
charge d'immission	immission load
charge en métaux lourds	heavy metal load
charge polluante	pollution load
charrue	plough
charte	chart
charte nautique	chart ; nautical chart
chasse	hunting
chat ; minou	cat
chaudière	boiler
chauffage	heating
chauffage urbain	district heating
chaussette	sock
chausson ; pantoufle	slipper
chaussure ; pompe ; soulier ; godasse ; grolle ; tatane	shoe
chaux	lime
chaîne alimentaire	food chain
chaîne de Markov	Markov chain ; Markoff chain
chaîne pétrolière	oil production (chain)
cheminement des polluants	pollutant pathway
cheminée	chimney
cheptel sur pied	livestock
cheval	horse
cheveu ; poil ; chevelure ; pelage	hair
cheville	ankle ; talocrural joint
chien	dog
chiffon	rag
chihuahua	Chihuahua ; chihuahua
chimie	chemistry
chimie analytique	analytical chemistry
chimie de l'atmosphère	atmospheric chemistry
chimie environnementale	environmental chemistry
chimie générale	general chemistry
chimie minérale	inorganic chemistry
chimie organique	organic chemistry
chimisorption	chemisorption
chimpanzé	chimpanzee
chinois	Chinese
chiroptère	chiropteran
chirurgie	surgery
chirurgien	surgeon
chloration	chlorination
chlore	chlorine
chlorofluorocarbure	CFC ; chlorofluorocarbon
chlorophylle	chlorophyll
chlorophénol	chlorophenol
chlorose	chlorosis
chlorure	chloride
chocolat	chocolate
cholestérol ; cholestérine	cholesterol
chordés	chordate
chorologie	chorology
chou-fleur	cauliflower
chromatographie	chromatography
chromatographie en phase gazeuse	gas chromatography
chrome	chromium
chromosome	chromosome
chrysophycées	chrysophyta
châtaignier	chestnut
château ; château fort	castle
chélicère	chelicerate
chêne	oak
chômage	unemployment
ciel	heaven ; sky
cigare ; סיגר	cigar
cigarette	cigarette
cigogne	stork
ciment	cement
ciment amianté	asbestos cement
cimenterie	cement manufacture
cinq	five
cinétique des réactions	reaction kinetics
circulaire	circular mail
circulation atmosphérique	atmospheric circulation
circulation océanique	ocean circulation
citoyen	citizen
citron	lemon
clarinette	clarinet
classification	classification
classification d'image	image classification
classification de l'usage des sols	land use classification
clavier	keyboard
cliché	platitude ; cliche ; cliché
climat	climate
climat continental	continental climate
climat désertique	desert climate
climat montagnard	mountain climate
climat méditerranéen	Mediterranean climate
climat océanique	oceanic climate
climat équatorial	equatorial climate
climatisation	air conditioning ; AC ; air-conditioning
climatologie	climatology
climax	climax
clitoris ; clito	button ; clit ; clitoris
clonage	cloning
co-incinération	co-incineration
coagulation	coagulation
cobalt	cobalt
cobaye ; cochon d'Inde	guinea pig
cocaïne	cocaine
code	code
code administratif ; organe d'administration	administrative body ; administrative organ
code de mise en pratique	code of practice
codification	codification
codification OMCI	IMCO code
coelentérés	coelenterate
cogénération	cogeneration
coiffeur	hairdresser ; barber
coke	coke
colibacilles	coliform bacterium
colle	glue
collectivité locale	local government
colline	colina ; hill ; loma
colloïde	colloid
colombe	pigeon ; dove
colonie	colony
colonisation	colonisation
colorimétrie	colourimetry
colubridés	colubrid
colza	rape
coléoptère	beetle
combustibilité	combustibility
combustible	fuel
combustible fossile	fossil fuel
combustible nucléaire	nuclear fuel
comestible ; consommable ; mangeable	edible
commerce	trade
commerce ; commercial	trade
commerce Est-Ouest	East-West trade
commerce d'alimentation	food commerce
commerce des animaux	animal trade
commerce des plantes	plant trade
commerce et consommation	trade and consumption
commerce extérieur	foreign trade
commerce international	international trade
commerce intérieur	domestic trade
commercialisation	commercialisation
communauté végétale	plant community
communauté écologique	ecological community
commune	municipality
communication	communications
communication en matière de risques	risk communication
communisme	communism
compactage	compaction
compagnie d'assurance	insurance business
compagnie d'électricité	electricity company
compagnie d'électricité	power company
compagnie du gaz	gas company
comparaison	comparison
comparaison de produits	product comparison
comparaison interlaboratoire	interlaboratory comparison
comparaison internationale	international transaction
compassion	pity ; compassion
compensation	compensation
complexation	complex formation
comportement	behaviour
comportement animal	animal behaviour
comportement collectif	group behaviour
comportement des consommateurs	consumer behaviour
comportement social	social behaviour
comportement écologique	environmentally responsible behaviour
composant atmosphérique	atmospheric component
composant préfabriqué (bâtiment)	building component
composition chimique	chemical composition
composition de couleurs	colour composition
composition de l'atmosphère	atmospheric composition
composition de la population	composition of population
composition des carburants	fuel composition
